stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
PGUENA_2,,Père Gwenaël,,48.38112,-4.368393,,,0,,,0,,
ZIPORT_1,,Z.I. Portuaire,,48.388573,-4.459196,,,0,,,0,,
ZIPORT_2,,Z.I. Portuaire,,48.388508,-4.459104,,,0,,,0,,
KERJEG_1,,Kerjégu,,48.38922,-4.456271,,,0,,,0,,
LTEY_2,,Lyautey,,48.39847,-4.465397,,,0,,,1,,
LECOAT_1,,Le Coat,,48.43219,-4.405227,,,0,,,1,,
POMPI_1,,Pompidou,,48.441433,-4.399982,,,0,,,1,,
DOUVEZ_3,,Le Douvez,,48.41502,-4.349012,,,0,,,0,,
LTEY_1,,Lyautey,,48.398464,-4.465196,,,0,,,1,,
DIWAN_2,,Diwan,,48.39803,-4.411315,,,0,,,0,,
KCAO_4,,Kerscao,,48.405956,-4.409379,,,0,,,1,,
POMPI_2,,Pompidou,,48.441525,-4.40016,,,0,,,1,,
GARE_KRH,,Gare SNCF Kerhuon,,48.40946,-4.388233,,,0,,,1,,
MERCEU_2,,Merceur,,48.410435,-4.412751,,,0,,,1,,
MERCEU_1,,Merceur,,48.409412,-4.412319,,,0,,,1,,
TI_RUZ_1,,Ti Ruz,,48.422825,-4.421792,,,0,,,0,,
HERBOT_2,,St Herbot,,48.435055,-4.400533,,,0,,,1,,
TI_RUZ_2,,Ti Ruz,,48.423405,-4.420197,,,0,,,0,,
LECOAT_2,,Le Coat,,48.432034,-4.405257,,,0,,,1,,
HERBOT_1,,St Herbot,,48.435013,-4.400808,,,0,,,1,,
FROUT_2,,Froutven,,48.415188,-4.4356,,,0,,,1,,
FROUT_1,,Froutven,,48.41578,-4.43493,,,0,,,1,,
LAVALL_2,,Lavallot,,48.421146,-4.424209,,,0,,,0,,
LAVALL_1,,Lavallot,,48.42065,-4.425629,,,0,,,0,,
CHAMP_1,,Champagne,,48.438114,-4.387042,,,0,,,1,,
CHAMP_2,,Champagne,,48.438282,-4.387307,,,0,,,1,,
TOURB_1,,Tourbian,,48.413296,-4.44996,,,0,,,1,,
TOURB_2,,Tourbian,,48.413086,-4.450191,,,0,,,1,,
RIBEUZ_1,,Ribeuze,,48.44148,-4.396048,,,0,,,1,,
RIBEUZ_2,,Ribeuze,,48.441616,-4.396082,,,0,,,1,,
PLCOM_2,,Commerce,,48.371403,-4.590605,,,0,,,1,,
ANNE_2,,Anne de Bretagne,,48.43711,-4.408351,,,0,,,1,,
PLCOM_1,,Commerce,,48.371483,-4.590496,,,0,,,1,,
COATAU_1,,Coataudon,,48.414394,-4.440347,,,0,,,1,,
PENHU_1,,Penhuel,,48.382,-4.612136,,,0,,,1,,
PENHU_2,,Penhuel,,48.381847,-4.611999,,,0,,,1,,
ANNE_1,,Anne de Bretagne,,48.437183,-4.40821,,,0,,,1,,
KILRUS_1,,Kilrush,,48.382214,-4.621244,,,0,,,1,,
FORES_2,,Forestou,,48.39041,-4.46834,,,0,,,1,,
KRQE_1,,Keranquéré,,48.37924,-4.530635,,,0,,,1,,
KERBER_1,,Kerbernard,,48.407597,-4.459618,,,0,,,1,,
FORES_1,,Forestou,,48.390312,-4.468507,,,0,,,1,,
WARSP_2,,Warspite,,48.390175,-4.521491,,,0,,,1,,
STELOI_2,,St-Eloi,,48.435513,-4.395234,,,0,,,1,,
WARSP_1,,Warspite,,48.39011,-4.521643,,,0,,,1,,
KERBER_2,,Kerbernard,,48.407227,-4.459906,,,0,,,1,,
CHR_A1,,Hôpital Cavale 2,,48.40015,-4.529912,,,0,,,1,,
COATAU_2,,Coataudon,,48.414146,-4.440357,,,0,,,1,,
CLOITR_1,,Cloître,,48.37841,-4.61503,,,0,,,1,,
STELOI_1,,St-Eloi,,48.435623,-4.394818,,,0,,,1,,
AWENA_1,,Guipavas Awena,,48.440372,-4.403149,,,0,,,1,,
AWENA_2,,Guipavas Awena,,48.440742,-4.402627,,,0,,,1,,
KERVIL_2,,Kervillerm,,48.413715,-4.444661,,,0,,,1,,
KERVIL_1,,Kervillerm,,48.41384,-4.445127,,,0,,,1,,
PDALAR_2,,Pen An Dalar,,48.435688,-4.388189,,,0,,,1,,
PDALAR_1,,Pen An Dalar,,48.435734,-4.389395,,,0,,,1,,
MONNET_1,,Monnet,,48.438927,-4.409367,,,0,,,1,,
MONNET_2,,Monnet,,48.439217,-4.408837,,,0,,,1,,
GUELM_1,,Guelmeur Eglise,,48.392075,-4.463852,,,0,,,1,,
GUELM_2,,Guelmeur Eglise,,48.391953,-4.464005,,,0,,,1,,
PISCI_1,,Poste A/B,,48.368694,-4.518649,,,0,,,0,,
ESNLE_1,,ESNLE,,48.374462,-4.516852,,,0,,,0,,
ST_EX_TR,,Saint-Exupéry,,48.387367,-4.504326,,,0,,,1,,
J_BART_1,,Jean Bart,,48.382523,-4.497303,,,0,,,0,,
ST_EX_TA,,Saint-Exupéry,,48.387363,-4.504407,,,0,,,1,,
CAMID_1,,CAMID,,48.389824,-4.496098,,,0,,,0,,
MAC_O_TR,,Mac Orlan,,48.384747,-4.503838,,,0,,,0,,
CAMID_2,,CAMID,,48.389816,-4.496192,,,0,,,0,,
MAC_O_TA,,Mac Orlan,,48.38474,-4.503918,,,0,,,0,,
LANINO_2,,A13 - Electronique,,48.376553,-4.509137,,,0,,,0,,
KERGA_TA,,Kergaradec,,48.424473,-4.466867,,,0,,,1,,
LANINO_1,,A13 - Electronique,,48.376514,-4.509063,,,0,,,0,,
KERGA_TR,,Kergaradec,,48.424458,-4.466947,,,0,,,1,,
FLOTI_2,,Gymnase,,48.371376,-4.514116,,,0,,,0,,
VALI_TR,,Vali Hir,,48.386982,-4.526861,,,0,,,1,,
FLOTI_1,,Gymnase,,48.371426,-4.514181,,,0,,,0,,
VALI_TA,,Vali Hir,,48.38693,-4.526844,,,0,,,1,,
PISCI_2,,Poste A/B,,48.368664,-4.518556,,,0,,,0,,
SIAM_TA,,Siam,,48.388176,-4.488944,,,0,,,1,,
SIAM_TR,,Siam,,48.38821,-4.489006,,,0,,,1,,
OCTRO_TA,,Octroi,,48.396534,-4.476339,,,0,,,1,,
C_CRO_1,,Chapelle Croix,,48.411552,-4.37358,,,0,,,0,,
EUROP_TR,,Europe,,48.41124,-4.471177,,,0,,,1,,
EUROP_TA,,Europe,,48.411247,-4.471056,,,0,,,1,,
EAU_B_TR,,Eau Blanche,,48.416946,-4.459692,,,0,,,1,,
EAU_B_TA,,Eau Blanche,,48.4169,-4.459651,,,0,,,1,,
KERLA_TA,,Kerlaurent,,48.41871,-4.453171,,,0,,,1,,
KERLA_TR,,Kerlaurent,,48.418755,-4.453215,,,0,,,1,,
OCTRO_TR,,Octroi,,48.396572,-4.476396,,,0,,,1,,
GLEUZ_2,,Kergleuz,,48.412308,-4.365078,,,0,,,0,,
KVAREC_1,,Kergavarec,,48.413044,-4.359718,,,0,,,0,,
RUQUEL_2,,Ruquelen,,48.435085,-4.368326,,,0,,,0,,
RESTIC_4,,Restic,,48.42746,-4.493468,,,0,,,0,,
KERZU_2,,Kerzu,,48.41011,-4.476326,,,0,,,1,,
RESTIC_3,,Restic,,48.426994,-4.493759,,,0,,,0,,
ANJOU_2,,Anjou,,48.454887,-4.465083,,,0,,,1,,
ROCH_G_1,,Roch Glas,,48.430977,-4.497985,,,0,,,0,,
ROCH_G_2,,Roch Glas,,48.430897,-4.497906,,,0,,,0,,
KERAF_1,,Kerafur,,48.43987,-4.393164,,,0,,,1,,
TRAON_1,,Pen an Traon,,48.408024,-4.347752,,,0,,,0,,
ANJOU_1,,Anjou,,48.4552,-4.464919,,,0,,,1,,
KERAFL_1,,Kerafloch,,48.414032,-4.354942,,,0,,,0,,
DOUVEZ_1,,Le Douvez,,48.414967,-4.349362,,,0,,,0,,
KERAF_2,,Kerafur,,48.439888,-4.392944,,,0,,,1,,
PGUINA_2,,Poulguinan,,48.4248,-4.392498,,,0,,,0,,
VILNE_1,,Villeneuve,,48.40895,-4.467382,,,0,,,1,,
KERZU_1,,Kerzu,,48.409462,-4.476108,,,0,,,1,,
VILNE_2,,Villeneuve,,48.408802,-4.467052,,,0,,,1,,
GALACH_1,,Galache,,48.39086,-4.450779,,,0,,,0,,
GALACH_2,,Galache,,48.39096,-4.450081,,,0,,,0,,
C_FUNE_1,,Centre Funéraire,,48.392834,-4.540278,,,0,,,0,,
KERJEG_2,,Kerjégu,,48.38913,-4.456239,,,0,,,0,,
PARCM_2,,Parc Minéralier,,48.3856,-4.469931,,,0,,,0,,
PARCM_1,,Parc Minéralier,,48.38554,-4.471091,,,0,,,0,,
CHEVIL_1,,Chevillotte,,48.390762,-4.444295,,,0,,,0,,
CHEVIL_2,,Chevillotte,,48.390663,-4.444315,,,0,,,0,,
TRITSC_1,,Tritschler,,48.38693,-4.462728,,,0,,,0,,
TRITSC_2,,Tritschler,,48.386993,-4.462482,,,0,,,0,,
CAMELI_1,,Camélias,,48.428562,-4.563469,,,0,,,0,,
CAMELI_2,,Camélias,,48.4285,-4.563296,,,0,,,0,,
VALI_H_2,,Vali Hir,,48.38703,-4.52607,,,0,,,1,,
MANET_1,,Manet,,48.431465,-4.564661,,,0,,,1,,
VALI_H_5,,Vali Hir,,48.38692,-4.52591,,,0,,,1,,
MANET_2,,Manet,,48.43157,-4.564588,,,0,,,1,,
GDDUC_2,,Surcouf,,48.38142,-4.490242,,,0,,,0,,
LANDAI_1,,Landais,,48.38874,-4.509841,,,0,,,1,,
POSTE8_1,,Poste 8,,48.390945,-4.495046,,,0,,,0,,
POSTE8_2,,Poste 8,,48.390907,-4.495133,,,0,,,0,,
TOURV_2,,Tourville,,48.38495,-4.495344,,,0,,,0,,
TOURV_3,,Tourville,,48.384937,-4.495246,,,0,,,0,,
GRDDUC,,Grand Duc,,48.380596,-4.492318,,,0,,,0,,
DIGUE_2,,La Digue,,48.397243,-4.515194,,,0,,,1,,
COAT_M_2,,Coat Mez,,48.420696,-4.553955,,,0,,,1,,
MESNOS_1,,Mesnos,,48.390408,-4.537682,,,0,,,1,,
COAT_M_1,,Coat Mez,,48.420887,-4.554048,,,0,,,1,,
COAT_TA,,Coat Tan,,48.385983,-4.533598,,,0,,,1,,
A_RONA_1,,Amiral Ronarc'h,,48.39545,-4.52381,,,0,,,1,,
KERION_1,,Kerionoc,,48.4243,-4.560961,,,0,,,1,,
PTGUI_TA,,Porte de Guipavas,,48.419155,-4.444194,,,0,,,1,,
A_RONA_2,,Amiral Ronarc'h,,48.39544,-4.524492,,,0,,,1,,
FREYSS_1,,Roberval,,48.42743,-4.570614,,,0,,,1,,
CAPUC_TA,,Les Capucins,,48.390663,-4.504742,,,0,,,1,,
BRETAG_1,,Place de Bretagne,,48.41321,-4.492657,,,0,,,1,,
LANCEL_2,,Lancelot,,48.4225,-4.556041,,,0,,,1,,
GFM_2,,GFM,,48.388824,-4.494035,,,0,,,0,,
CAPUC_TR,,Les Capucins,,48.390644,-4.504667,,,0,,,1,,
BRETAG_2,,Place de Bretagne,,48.413067,-4.493006,,,0,,,1,,
KERION_2,,Kerionoc,,48.4242,-4.560957,,,0,,,1,,
BOTREL_1,,Botrel,,48.37979,-4.37548,,,0,,,0,,
LANDAI_2,,Landais,,48.38919,-4.509063,,,0,,,1,,
BOTREL_2,,Botrel,,48.379345,-4.375078,,,0,,,0,,
DIGUE_1,,La Digue,,48.397396,-4.515154,,,0,,,1,,
LANCEL_1,,Lancelot,,48.421967,-4.555375,,,0,,,1,,
GDDUC_1,,Surcouf,,48.3813,-4.490257,,,0,,,0,,
LIBMAI_1,,Liberté Mairie,,48.39018,-4.486365,,,0,,,0,,
GORGEU_2,,Le Gorgeu,,48.40409,-4.505566,,,0,,,1,,
MESNOS_2,,Mesnos,,48.390926,-4.537018,,,0,,,1,,
FREYSS_2,,Roberval,,48.427383,-4.570495,,,0,,,1,,
CASTEL_1,,Castelmein,,48.413227,-4.541271,,,0,,,0,,
LIBMAI_2,,Liberté Mairie,,48.390274,-4.486018,,,0,,,0,,
RECOU_TA,,Recouvrance,,48.38417,-4.499445,,,0,,,1,,
STVINC_1,,St Vincent,,48.41901,-4.488,,,0,,,1,,
B_FER_1,,Brasserie,,48.396473,-4.496787,,,0,,,0,,
RECOU_TR,,Recouvrance,,48.384224,-4.499433,,,0,,,1,,
STVINC_2,,St Vincent,,48.4189,-4.48797,,,0,,,1,,
B_FER_2,,Brasserie,,48.39644,-4.496868,,,0,,,0,,
