route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A,B_SEPT21-TB06-Samedi-03,15545948,Jean Jaurès,,0,,A_0_A0029_614EC8D01AF869C4E86EDEA72E69F5C7_PTPLZ_TA_JJAUR_TA_15,1,0
A,B_SEPT21-TB06-Samedi-03,15541200,Liberté,,0,,A_0_A0081_97640F558E6EE49E93805ED3FBF25900_PTPLZ_TA_LIBE_TA_14,1,0
A,B_SEPT21-TB06-Samedi-03,15541179,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541180,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541184,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541186,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541188,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541189,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541195,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541196,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541197,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541198,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541205,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541206,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541209,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541210,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541213,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541214,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541220,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541221,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541227,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541228,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541229,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541231,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541236,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541237,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541243,Porte Plouzané,,1,,A_1_A0044_854A869A174C9AB7B75A508E1F71E156_RECOU_TR_PTPLZ_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541173,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541174,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541175,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541176,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541177,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541181,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541182,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541183,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541185,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541190,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541191,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541193,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541203,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541211,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541215,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541216,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541217,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541219,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541223,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541232,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541233,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541234,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541238,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541245,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15546880,Recouvrance,,0,,A_0_A0027_8F9B28472AA9F4C99CCC7CB632850718_PTPLZ_TA_RECOU_TA_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541143,Jean Jaurès,,1,,A_1_A0049_F67B3C5B38027F815E222D81ED27B84D_PTGUI_TA_JJAUR_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541144,Jean Jaurès,,1,,A_1_A0049_F67B3C5B38027F815E222D81ED27B84D_PTGUI_TA_JJAUR_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541145,Jean Jaurès,,1,,A_1_A0049_F67B3C5B38027F815E222D81ED27B84D_PTGUI_TA_JJAUR_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541146,Jean Jaurès,,1,,A_1_A0049_F67B3C5B38027F815E222D81ED27B84D_PTGUI_TA_JJAUR_TR_11,1,0
A,B_SEPT21-TB06-Samedi-03,15541136,Menez Paul,,1,,A_1_A0051_06DF34E797F7F6720D9938F0B618DC52_PTGUI_TA_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541137,Menez Paul,,1,,A_1_A0051_06DF34E797F7F6720D9938F0B618DC52_PTGUI_TA_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541138,Menez Paul,,1,,A_1_A0051_06DF34E797F7F6720D9938F0B618DC52_PTGUI_TA_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541139,Menez Paul,,1,,A_1_A0051_06DF34E797F7F6720D9938F0B618DC52_PTGUI_TA_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541140,Menez Paul,,1,,A_1_A0051_06DF34E797F7F6720D9938F0B618DC52_PTGUI_TA_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541141,Menez Paul,,1,,A_1_A0051_06DF34E797F7F6720D9938F0B618DC52_PTGUI_TA_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541142,Menez Paul,,1,,A_1_A0051_06DF34E797F7F6720D9938F0B618DC52_PTGUI_TA_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541147,Menez Paul,,1,,A_1_A0051_06DF34E797F7F6720D9938F0B618DC52_PTGUI_TA_MENEZ_TR_6,1,0
A,B_SEPT21-TB06-Samedi-03,15541148,Menez Paul,,1,,A_1_A0051_06DF34E797F7F6720D9938F0B618DC52_PTGUI_TA_MENEZ_TR_6,1,0
